BB_Rank,Title,Artist,Date,Genre,Gender
84,I HEARD IT THROUGH THE GRAPEVINE,Marvin Gaye,1968,R&B,Male
85,YOU'RE STILL THE ONE,Shania Twain,1998,Country,Female
86,BILLIE JEAN,Michael Jackson,1983,R&B,Male
87,HOT STUFF,Donna Summer,1979,Dance/Electronic,Female
88,ROCKSTAR,Post Malone Featuring 21 Savage,2017,Hip-Hop/Rap,Male
89,GANGSTA'S PARADISE,Coolio Featuring L.V.,1995,Hip-Hop/Rap,Male
90,ABRACADABRA,The Steve Miller Band,1982,Rock,Duo/Group
91,PERFECT,Ed Sheeran,2017,Pop,Male
92,YOU'RE SO VAIN,Carly Simon,1973,Pop,Female
93,PLAY THAT FUNKY MUSIC,Wild Cherry,1976,R&B,Duo/Group
94,"SAY YOU, SAY ME",Lionel Richie,1985,R&B,Male
95,MY SHARONA,The Knack,1979,Rock,Duo/Group
96,ALL NIGHT LONG (ALL NIGHT),Lionel Richie,1983,R&B,Male
97,NOTHING COMPARES 2 U,Sinead O'Connor,1990,Rock,Female
98,I SWEAR,All-4-One,1994,R&B,Duo/Group
99,FAMILY AFFAIR,Mary J. Blige,2001,R&B,Female
100,WAITING FOR A GIRL LIKE YOU,Foreigner,1981,Rock,Duo/Group
101,ARE YOU LONESOME TO-NIGHT?,Elvis Presley With The Jordanaires,1960,Rock,Male
102,KILLING ME SOFTLY WITH HIS SONG,Roberta Flack,1973,R&B,Female
103,SEE YOU AGAIN,Wiz Khalifa Featuring Charlie Puth,2015,Hip-Hop/Rap,Male
104,HURTS SO GOOD,John Cougar,1982,Rock,Male
105,I'LL BE MISSING YOU,Puff Daddy & Faith Evans Featuring 112,1997,Hip-Hop/Rap,Male/Female
106,DARK HORSE,Katy Perry Featuring Juicy J,2014,Pop,Female
107,RAINDROPS KEEP FALLIN' ON MY HEAD,B.J. Thomas,1970,Pop,Male
108,THRIFT SHOP,Macklemore & Ryan Lewis Featuring Wanz,2013,Hip-Hop/Rap,Duo/Group
109,ANOTHER DAY IN PARADISE,Phil Collins,1989,Rock,Male
