BB_Rank,Title,Artist,Date,Genre,Gender
376,MAGIC,Olivia Newton-John,1980,Pop,Female
377,CANDY SHOP,50 Cent Featuring Olivia,2005,Hip-Hop/Rap,Male
378,I LOVE YOU ALWAYS FOREVER,Donna Lewis,1996,Pop,Female
379,BELIEVE,Cher,1999,Dance/Electronic,Female
380,THE WAY I ARE,Timbaland Featuring Keri Hilson,2007,R&B,Male
381,ONE MORE TRY,George Michael,1988,Pop,Male
382,GHOSTBUSTERS,Ray Parker Jr.,1984,Pop,Male
383,MY HEART HAS A MIND OF ITS OWN,Connie Francis,1960,Pop,Female
384,KISS FROM A ROSE,Seal,1995,Pop,Male
385,"DECEMBER, 1963 (OH, WHAT A NIGHT)",The 4 Seasons,1976,Pop,Duo/Group
386,GLORIA,Laura Branigan,1982,Pop,Female
387,BLANK SPACE,Taylor Swift,2014,Pop,Female
388,EVERYTHING YOU WANT,Vertical Horizon,2000,Rock,Duo/Group
389,HELLO,Lionel Richie,1984,R&B,Male
390,IT'S ALL COMING BACK TO ME NOW,Celine Dion,1996,Pop,Female
391,SHOUT,Tears For Fears,1985,Rock,Duo/Group
392,THE POWER OF LOVE,Celine Dion,1994,Pop,Female
393,WINDY,The Association,1967,Pop,Duo/Group
394,BRAND NEW KEY,Melanie,1971,Pop,Female
395,CHEAP THRILLS,Sia Featuring Sean Paul,2016,Pop,Female
396,SOME NIGHTS,fun.,2012,Rock,Duo/Group
397,RIGHT HERE WAITING,Richard Marx,1989,Pop,Male
398,BAD DAY,Daniel Powter,2006,Pop,Male
399,BABY BABY,Amy Grant,1991,Pop,Female
400,WOMAN,John Lennon,1981,Rock,Male
401,STAY WITH ME,Sam Smith,2014,Pop,Male
402,UMBRELLA,Rihanna Featuring Jay-Z,2007,R&B,Female
403,GROOVIN',The Young Rascals,1967,Rock,Duo/Group
404,CAN'T HOLD US,Macklemore & Ryan Lewis Featuring Ray Dalton,2013,Hip-Hop/Rap,Duo/Group
405,THAT'S THE WAY LOVE GOES,Janet Jackson,1993,R&B,Female
406,HOW TO SAVE A LIFE,The Fray,2006,Rock,Duo/Group
407,HEARTACHES BY THE NUMBER,Guy Mitchell,1959,Pop,Male
408,BABE,Styx,1979,Rock,Duo/Group
409,I CAN'T GET NEXT TO YOU,The Temptations,1969,R&B,Duo/Group
410,OWNER OF A LONELY HEART,Yes,1984,Rock,Duo/Group
411,WHERE MY GIRLS AT?,702,1999,R&B,Duo/Group
412,DOMINIQUE,The Singing Nun (Soeur Sourire),1963,Pop,Female
413,"1, 2 STEP",Ciara Featuring Missy Elliott,2005,R&B,Female
414,LIGHT MY FIRE,The Doors,1967,Rock,Duo/Group
415,ALL THAT SHE WANTS,Ace Of Base,1993,Pop,Duo/Group
416,EXODUS,Ferrante & Teicher,1961,Pop,Duo/Group
417,EL PASO,Marty Robbins,1959,Country,Male
418,BAD ROMANCE,Lady Gaga,2009,Pop,Female
419,AFTERNOON DELIGHT,Starland Vocal Band,1976,Pop,Duo/Group
420,JUSTIFY MY LOVE,Madonna,1991,Pop,Female
421,BLAZE OF GLORY,Jon Bon Jovi,1990,Rock,Male
422,PLEASE DON'T GO,KC And The Sunshine Band,1980,Pop,Duo/Group
423,BIRD DOG,The Everly Brothers,1958,Pop,Duo/Group
424,HOW AM I SUPPOSED TO LIVE WITHOUT YOU,Michael Bolton,1990,Pop,Male
425,LET IT BE,The Beatles,1970,Rock,Duo/Group
426,BABY GOT BACK,Sir Mix-A-Lot,1992,Hip-Hop/Rap,Male
427,DIZZY,Tommy Roe,1969,Pop,Male
428,LOST IN YOUR EYES,Debbie Gibson,1989,Pop,Female
429,HE'S SO FINE,The Chiffons,1963,R&B,Duo/Group
430,SOMEDAY,Mariah Carey,1991,R&B,Female
431,NEED YOU TONIGHT,INXS,1988,Rock,Duo/Group
432,GET UP AND BOOGIE (THAT'S RIGHT),Silver Convention,1976,Dance/Electronic,Duo/Group
433,HARDEN MY HEART,Quarterflash,1982,Rock,Duo/Group
434,THE LETTER,The Box Tops,1967,Rock,Duo/Group
435,HERO,Mariah Carey,1993,R&B,Female
436,SHAKE YOU DOWN,Gregory Abbott,1987,R&B,Male
437,BEFORE THE NEXT TEARDROP FALLS,Freddy Fender,1975,Country,Male
438,HOW CAN YOU MEND A BROKEN HEART,Bee Gees,1971,Pop,Duo/Group
439,STAY (I MISSED YOU),Lisa Loeb & Nine Stories,1994,Pop,Duo/Group
440,TOUCH ME IN THE MORNING,Diana Ross,1973,R&B,Female
441,SEXYBACK,Justin Timberlake,2006,Pop,Male
442,WE BUILT THIS CITY,Starship,1985,Rock,Duo/Group
443,KUNG FU FIGHTING,Carl Douglas,1974,Pop,Male
444,THIS IS HOW WE DO IT,Montell Jordan,1995,R&B,Male
445,STUCK WITH YOU,Huey Lewis & The News,1986,Pop,Duo/Group
446,WITHOUT YOU,Nilsson,1972,Pop,Male
447,PARTY ALL THE TIME,Eddie Murphy,1985,R&B,Male
448,HAPPY TOGETHER,The Turtles,1967,Pop,Duo/Group
449,NEVER GONNA GIVE YOU UP,Rick Astley,1988,Pop,Male
450,I ADORE MI AMOR,Color Me Badd,1991,R&B,Duo/Group
451,I'M YOURS,Jason Mraz,2008,Pop,Male
452,THE JOKER,The Steve Miller Band,1974,Rock,Duo/Group
453,THE RUBBERBAND MAN,The Spinners,1976,R&B,Duo/Group
454,SWEET CHILD O' MINE,Guns N' Roses,1988,Rock,Duo/Group
455,COME SOFTLY TO ME,The Fleetwoods,1959,Pop,Duo/Group
456,ALL THE MAN THAT I NEED,Whitney Houston,1991,R&B,Female
457,DONNA,Ritchie Valens,1959,Pop,Male
458,SOMETHIN' STUPID,Nancy Sinatra & Frank Sinatra,1967,Pop,Male/Female
459,ONE BAD APPLE,The Osmonds,1971,Pop,Duo/Group
460,DON'T LET GO (LOVE),En Vogue,1997,R&B,Duo/Group
461,PUMP UP THE JAM,Technotronic Featuring Felly,1990,Dance/Electronic,Duo/Group
462,EVERYTIME YOU GO AWAY,Paul Young,1985,Pop,Male
463,AIN'T IT FUNNY,Jennifer Lopez Featuring Ja Rule,2002,Pop,Female
464,DON'T KNOW MUCH,Linda Ronstadt (Featuring Aaron Neville),1989,Pop,Female
465,TEMPERATURE,Sean Paul,2006,Hip-Hop/Rap,Male
466,THIS GUY'S IN LOVE WITH YOU,Herb Alpert,1968,Jazz,Male
467,GOT MY MIND SET ON YOU,George Harrison,1988,Rock,Male
468,9 TO 5,Dolly Parton,1981,Country,Female
469,TEEN ANGEL,Mark Dinning,1960,Pop,Male
470,HIGH ENOUGH,Damn Yankees,1991,Rock,Duo/Group
471,DISTURBIA,Rihanna,2008,Pop,Female
472,ROCK ME AMADEUS,Falco,1986,Pop,Male
473,LIKE A PRAYER,Madonna,1989,Pop,Female
474,I LOVE A RAINY NIGHT,Eddie Rabbitt,1981,Country,Male
475,ME AND MRS. JONES,Billy Paul,1972,R&B,Male
476,CLOSE TO YOU,Maxi Priest,1990,Pop,Male
477,ALL FOR YOU,Janet,2001,R&B,Female
478,RUNAROUND SUE,Dion,1961,Rock,Male
479,I CAN'T HELP MYSELF (SUGAR PIE HONEY BUNCH),Four Tops,1965,R&B,Duo/Group
480,ROSANNA,Toto,1982,Pop,Duo/Group
481,SHERRY,The 4 Seasons,1962,Pop,Duo/Group
482,DON'T YOU (FORGET ABOUT ME),Simple Minds,1985,Pop,Duo/Group
483,THERE! I'VE SAID IT AGAIN,Bobby Vinton,1964,Pop,Male
484,KYRIE,Mr. Mister,1986,Rock,Duo/Group
485,ROAR,Katy Perry,2013,Pop,Female
486,PUT YOUR HEAD ON MY SHOULDER,Paul Anka,1959,Pop,Male
487,MACARTHUR PARK,Donna Summer,1978,Dance/Electronic,Female
488,KARMA CHAMELEON,Culture Club,1984,Pop,Duo/Group
489,YOU'VE LOST THAT LOVIN' FEELIN',The Righteous Brothers,1965,Pop,Duo/Group
490,SAVE THE LAST DANCE FOR ME,The Drifters,1960,R&B,Duo/Group
491,KISS,Prince And The Revolution,1986,R&B,Duo/Group
492,YOU DON'T BRING ME FLOWERS,Barbra Streisand & Neil Diamond,1978,Pop,Male/Female
493,ALWAYS BE MY BABY,Mariah Carey,1996,R&B,Female
494,RUDE,MAGIC!,2014,Pop,Duo/Group
495,ST. ELMO'S FIRE (MAN IN MOTION),John Parr,1985,Rock,Male
496,STAND BY ME,Ben E. King,1961,R&B,Male
497,RELEASE ME,Wilson Phillips,1990,Pop,Duo/Group
498,YOU DON'T HAVE TO BE A STAR (TO BE IN MY SHOW),"Marilyn McCoo & Billy Davis, Jr.",1977,R&B,Male/Female
499,I KISSED A GIRL,Katy Perry,2008,Pop,Female
500,SUGAR,Maroon 5,2015,Pop,Duo/Group
501,I'M YOUR BABY TONIGHT,Whitney Houston,1990,R&B,Female
502,ISLAND GIRL,Elton John,1975,Pop,Male
503,COLD HEARTED,Paula Abdul,1989,Pop,Female
504,"FLY, ROBIN, FLY",Silver Convention,1975,R&B,Duo/Group
505,STEP BY STEP,New Kids On The Block,1990,Pop,Duo/Group
506,TOGETHER AGAIN,Janet,1998,R&B,Female
507,MY PREROGATIVE,Bobby Brown,1989,R&B,Male
508,THEN CAME YOU,Dionne Warwicke & Spinners,1974,R&B,Female/Duo/Group
509,SO EMOTIONAL,Whitney Houston,1988,R&B,Female
510,LAST DATE,Floyd Cramer,1960,Pop,Male
511,WHATCHA SAY,Jason Derulo,2009,R&B,Male
512,BLACK VELVET,Alannah Myles,1990,Rock,Female
513,UNWELL,matchbox twenty,2003,Rock,Duo/Group
514,OUT OF TOUCH,Daryl Hall John Oates,1984,Pop,Duo/Group
515,CALCUTTA,Lawrence Welk And His Orchestra,1961,Pop,Male
516,JIVE TALKIN',Bee Gees,1975,Pop,Duo/Group
517,Bohemian Rhapsody,Queen,1992,Rock,Duo/Group
518,THE WAY IT IS,Bruce Hornsby & The Range,1986,Rock,Duo/Group
519,LOVIN' YOU,Minnie Riperton,1975,Pop,Female
520,HOW WILL I KNOW,Whitney Houston,1986,R&B,Female
521,HERE WITHOUT YOU,3 Doors Down,2003,Rock,Duo/Group
522,GIVE ME ONE REASON,Tracy Chapman,1996,Pop,Female
523,FREAK ME,Silk,1993,R&B,Duo/Group
524,PAYPHONE,Maroon 5 Featuring Wiz Khalifa,2012,Pop,Duo/Group
525,HOT N COLD,Katy Perry,2008,Pop,Female
526,GET LOW,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2003,Hip-Hop/Rap,Duo/Group
527,BUY U A DRANK (SHAWTY SNAPPIN'),T-Pain Featuring Yung Joc,2007,Hip-Hop/Rap,Male
528,HEY PAULA,Paul and Paula,1963,Pop,Duo/Group
529,DON'T TALK TO STRANGERS,Rick Springfield,1982,Pop,Male
530,RIGHT THURR,Chingy,2003,Hip-Hop/Rap,Male
531,PART-TIME LOVER,Stevie Wonder,1985,R&B,Male
532,DO ME!,Bell Biv DeVoe,1990,R&B,Duo/Group
533,THE MOST BEAUTIFUL GIRL,Charlie Rich,1973,Country,Male
534,DELTA DAWN,Helen Reddy,1973,Pop,Female
535,ANYTHING FOR YOU,Gloria Estefan & Miami Sound Machine,1988,Pop,Duo/Group
536,AIRPLANES,B.o.B Featuring Hayley Williams,2010,Hip-Hop/Rap,Male
537,HERE I GO AGAIN,Whitesnake,1987,Rock,Duo/Group
538,I NEED TO KNOW,Marc Anthony,1999,Pop,Male
539,MICKEY,Toni Basil,1982,Pop,Female
540,JUMP,Kris Kross,1992,Hip-Hop/Rap,Duo/Group
541,THE NIGHT THE LIGHTS WENT OUT IN GEORGIA,Vicki Lawrence,1973,Pop,Female
542,NOBODY,Keith Sweat Featuring Athena Cage,1996,R&B,Male
543,LOVE STORY,Taylor Swift,2009,Country,Female
544,RISE,Herb Alpert,1979,Jazz,Male
545,BACK AT ONE,Brian McKnight,1999,R&B,Male
546,PONY TIME,Chubby Checker,1961,R&B,Male
547,MISTY BLUE,Dorothy Moore,1976,R&B,Female
548,BLAME IT ON THE RAIN,Milli Vanilli,1989,Pop,Duo/Group
549,A HORSE WITH NO NAME,America,1972,Rock,Duo/Group
550,IGNITION,R. Kelly,2003,R&B,Male
551,I DON'T WANNA CRY,Mariah Carey,1991,R&B,Female
552,"GET OUTTA MY DREAMS, GET INTO MY CAR",Billy Ocean,1988,R&B,Male
553,"BABY, COME TO ME",Patti Austin A Duet With James Ingram,1983,R&B,Male/Female
554,SWEET DREAMS (ARE MADE OF THIS),Eurythmics,1983,Pop,Duo/Group
555,BODAK YELLOW (MONEY MOVES),Cardi B,2017,Hip-Hop/Rap,Female
556,I WANNA KNOW,Joe,2000,R&B,Male
557,GENIE IN A BOTTLE,Christina Aguilera,1999,Pop,Female
558,WATCH ME,Silento,2015,Hip-Hop/Rap,Male
559,BABY LOVE,The Supremes,1964,R&B,Duo/Group
560,CAN'T STOP THE FEELING!,Justin Timberlake,2016,Pop,Male
561,CHEERLEADER,OMI,2015,Pop,Male
562,THE TIDE IS HIGH,Blondie,1981,Pop,Duo/Group
563,SLEEP WALK,Santo & Johnny,1959,Pop,Duo/Group
564,LAY DOWN SALLY,Eric Clapton,1978,Rock,Male
565,LEAVING ON A JET PLANE,"Peter, Paul & Mary",1969,Rock,Duo/Group
566,MANIAC,Michael Sembello,1983,Pop,Male
567,STRONGER (WHAT DOESN'T KILL YOU),Kelly Clarkson,2012,Pop,Female
568,I CAN SEE CLEARLY NOW,Johnny Nash,1972,Pop,Male
569,JOHNNY ANGEL,Shelley Fabares,1962,Pop,Female
570,Return Of The Mack,Mark Morrison,1997,R&B,Male
571,TOO MUCH HEAVEN,Bee Gees,1979,Pop,Duo/Group
572,AMAZED,Lonestar,2000,Country,Duo/Group
573,SMACK THAT,Akon Featuring Eminem,2006,R&B,Male
574,THE TEARS OF A CLOWN,Smokey Robinson & The Miracles,1970,R&B,Male/Duo/Group
575,LOVE SONG,Sara Bareilles,2008,Pop,Female
576,SHE AIN'T WORTH IT,Glenn Medeiros Featuring Bobby Brown,1990,R&B,Male
577,BEING WITH YOU,Smokey Robinson,1981,R&B,Male
578,WHAT DO YOU MEAN?,Justin Bieber,2015,Pop,Male
579,PAPA DON'T PREACH,Madonna,1986,Pop,Female
580,EVERYBODY'S SOMEBODY'S FOOL,Connie Francis,1960,Pop,Female
581,WANNABE,Spice Girls,1997,Pop,Duo/Group
582,LOVE MACHINE (PART 1),The Miracles,1976,R&B,Duo/Group
583,LET'S DANCE,David Bowie,1983,Rock,Male
584,JUST THE TWO OF US,"Grover Washington, Jr. With Bill Withers",1981,R&B,Male
585,BOOGIE FEVER,The Sylvers,1976,R&B,Duo/Group
586,WHERE DID OUR LOVE GO,The Supremes,1964,R&B,Duo/Group
587,COULD'VE BEEN,Tiffany,1988,Pop,Female
588,HOT CHILD IN THE CITY,Nick Gilder,1978,Rock,Male
589,ALWAYS,Bon Jovi,1994,Rock,Duo/Group
590,SHAKEDOWN,Bob Seger,1987,Rock,Male
591,RIGHT BACK WHERE WE STARTED FROM,Maxine Nightingale,1976,Dance/Electronic,Female
592,TIME IN A BOTTLE,Jim Croce,1973,Rock,Male
593,DOWNTOWN,Petula Clark,1965,Pop,Female
594,YOU MAKE ME FEEL LIKE DANCING,Leo Sayer,1977,Pop,Male
595,LITTLE STAR,The Elegants,1958,Pop,Duo/Group
596,BLUE VELVET,Bobby Vinton,1963,Pop,Male
597,"WILD, WILD WEST",The Escape Club,1988,Pop,Duo/Group
598,START ME UP,The Rolling Stones,1981,Rock,Duo/Group
599,BENT,matchbox twenty,2000,Rock,Duo/Group
600,TAKE ON ME,a-ha,1985,Pop,Duo/Group
