RS_Rank,Title,Album,Artist,Year 
219,Wonderful World,Portrait of a Legend 1951-1964 (ABKCO),Sam Cooke,1960
220,Marquee Moon,Marquee Moon (Elektra),Television,1977
221,I Cant Explain,The Ultimate Collection (MCA),The Who,1965
222,The Wind Cries Mary,Are You Experienced? (MCA),The Jimi Hendrix Experience,1967
223,Im a Man,His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,1955
224,Personal Jesus,Violator (Sire),Depeche Mode,1989
225,White Room,Wheels of Fire (Polygram),Cream,1968
226,How Deep Is Your Love,Saturday Night Fever (Polygram),Bee Gees,1977
227,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
228,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
229,The Letter,The Letter (Sundazed),The Box Tops,1967
230,Complete Control,The Clash (Epic),The Clash,1979
231,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
232,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
233,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
234,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
235,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
236,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
237,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
238,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
239,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
240,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
241,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
242,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
243,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
244,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
245,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
246,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
247,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
248,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
249,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
250,Runaround Sue,Runaround Sue (Capitol),Dion,1961
251,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
252,Just My Imagination,Anthology (Motown),The Temptations,1971
253,Roxanne,Outlandos d'Amour (Interscope),The Police,1979
254,Tiny Dancer,Madman Across the Water (Island),Elton John,1971
255,Know You Got Soul,Paid in Full (Island),Eric B. and Rakim,19874
256,Stills,Decade (Reprise),Crosby,1970
257,Ticket to Ride,Help! (Capitol/Apple),The Beatles,1965
258,Whipping Post,At Fillmore East (Mercury),The Allman Brothers Band,1969
259,Bitter Sweet Symphony,Urban Hymns (Virgin),The Verve,1997
260,Tell It Like It Is,Tell It Like It Is: Golden Classics (Collectables),Aaron Neville,1966
261,Goodbye Yellow Brick Road,Goodbye Yellow Brick Road (Island),Elton John,1973
262,Radio Free Europe,Murmur (A&M),R.E.M.,1983
263,Pride (In the Name of Love),The Unforgettable Fire (Island),U2,1984
